core	from	to	thickness	type	event_id
RIN2	381	381.1	0.1	tephra	
RIN2	421	423	2	tephra	
RIN2	425	429	4	tephra	
RIN2	448.5	448.6	0.1	tephra	
RIN2	509	509.8	0.8	tephra	
RIN2	531.5	531.6	0.1	tephra	pcc4
RIN2	543	543.2	0.2	tephra	
RIN2	548.5	548.6	0.1	tephra	
RIN2	557	557.1	0.1	tephra	
RIN2	594	594.3	0.3	tephra	
RIN2	618	618.3	0.3	tephra	hua1
RIN2	623	623.7	0.7	tephra	
RIN2	711	711.1	0.1	tephra	pcc_ranco
PU-II	15.7	16	0.3	tephra	
PU-II	58.5	59	0.5	tephra	
PU-II	78.8	79.3	0.5	tephra	
PU-II	102.3	109.8	7.5	tephra	
PU-II	178	180.2	2.2	tephra	
PU-II	253.8	255.8	2	tephra	
PU-II	376.8	378.1	1.3	tephra	
PU-II	418.1	419.1	1	tephra	
PU-II	488.6	490.8	1.8	tephra	
PU-II	497.4	502.9	5.5	tephra	
PU-II	632.7	633.6	0.9	tephra	
PU-II	743.5	744.5	1	tephra	
PU-II	836.2	837	0.8	tephra	
PU-II	899.5	903	3.5	tephra	
PU-II	928.5	929.8	1.3	tephra	
PU-II	932.5	933.8	1.3	tephra	
PU-II	1002.4	1003	0.6	tephra	
PU-II	1005	1005.8	0.8	tephra	
